0.0000000, 0.0000000, 1.0000000
0.0200000, 0.0600586, 1.0035943
0.0400000, 0.1203404, 1.0111524
0.0600000, 0.1810028, 1.0226099
0.0800000, 0.2421999, 1.0378683
0.1000000, 0.3040812, 1.0567936
0.1200000, 0.3667900, 1.0792161
0.1400000, 0.4304623, 1.1049286
0.1600000, 0.4952249, 1.1336861
0.1800000, 0.5611941, 1.1652049
0.2000000, 0.6284739, 1.1991620
0.2200000, 0.6971547, 1.2351951
0.2400000, 0.7673118, 1.2729036
0.2600000, 0.8390035, 1.3118503
0.2800000, 0.9122701, 1.3515635
0.3000000, 0.9871322, 1.3915415
0.3200000, 1.0635899, 1.4312574
0.3400000, 1.1416220, 1.4701661
0.3600000, 1.2211850, 1.5077120
0.3800000, 1.3022134, 1.5433388
0.4000000, 1.3846193, 1.5764998
0.4200000, 1.4682935, 1.6066696
0.4400000, 1.5531064, 1.6333563
0.4600000, 1.6389095, 1.6561135
0.4800000, 1.7255378, 1.6745522
0.5000000, 1.8128118, 1.6883513
0.5200000, 1.9005408, 1.6972674
0.5400000, 1.9885259, 1.7011415
0.5600000, 2.0765639, 1.6999043
0.5800000, 2.1644503, 1.6935779
0.6000000, 2.2519837, 1.6822755
0.6200000, 2.3389687, 1.6661976
0.6400000, 2.4252196, 1.6456263
0.6600000, 2.5105635, 1.6209167
0.6800000, 2.5948433, 1.5924869
0.7000000, 2.6779191, 1.5608070
0.7200000, 2.7596713, 1.5263865
0.7400000, 2.8400007, 1.4897627
0.7600000, 2.9188303, 1.4514881
0.7800000, 2.9961052, 1.4121202
0.8000000, 3.0717927, 1.3722104
0.8200000, 3.1458819, 1.3322961
0.8400000, 3.2183832, 1.2928926
0.8600000, 3.2893267, 1.2544878
0.8800000, 3.3587616, 1.2175370
0.9000000, 3.4267546, 1.1824600
0.9200000, 3.4933885, 1.1496392
0.9400000, 3.5587605, 1.1194176
0.9600000, 3.6229806, 1.0920994
0.9800000, 3.6861707, 1.0679496
1.0000000, 3.7484619, 1.0471945
