0.0000000, 1.0000000, 2.0000000
0.0003750, 1.0056250, 2.0000063
0.0007500, 1.0112501, 2.0000127
0.0011250, 1.0168751, 2.0000190
0.0015000, 1.0225002, 2.0000254
0.0018750, 1.0281254, 2.0000318
0.0022500, 1.0337505, 2.0000382
0.0026250, 1.0393757, 2.0000446
0.0030000, 1.0450009, 2.0000511
0.0033750, 1.0506262, 2.0000576
0.0037500, 1.0562514, 2.0000640
0.0041250, 1.0618767, 2.0000706
0.0045000, 1.0675021, 2.0000771
0.0048750, 1.0731274, 2.0000836
0.0052500, 1.0787528, 2.0000902
0.0056250, 1.0843782, 2.0000968
0.0060000, 1.0900037, 2.0001034
0.0063750, 1.0956292, 2.0001100
0.0067500, 1.1012547, 2.0001166
0.0071250, 1.1068802, 2.0001232
0.0075000, 1.1125058, 2.0001299
0.0078750, 1.1181314, 2.0001366
0.0082500, 1.1237570, 2.0001433
0.0086250, 1.1293827, 2.0001500
0.0090000, 1.1350084, 2.0001567
0.0093750, 1.1406341, 2.0001635
0.0097500, 1.1462598, 2.0001702
0.0101250, 1.1518856, 2.0001770
0.0105000, 1.1575114, 2.0001838
0.0108750, 1.1631373, 2.0001906
0.0112500, 1.1687632, 2.0001975
0.0116250, 1.1743891, 2.0002043
0.0120000, 1.1800150, 2.0002111
0.0123750, 1.1856410, 2.0002180
0.0127500, 1.1912670, 2.0002249
0.0131250, 1.1968930, 2.0002318
0.0135000, 1.2025190, 2.0002387
0.0138750, 1.2081451, 2.0002456
0.0142500, 1.2137712, 2.0002526
0.0146250, 1.2193974, 2.0002595
